id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2025-02-13;7818.87316667
NE;Nordeste;2025-02-13;14221.62470833
S;Sul;2025-02-13;17527.19704167
SE;Sudeste/Centro-Oeste;2025-02-13;53390.07758333
N;Norte;2025-02-14;7685.50275
NE;Nordeste;2025-02-14;14154.28320833
S;Sul;2025-02-14;16784.18083333
SE;Sudeste/Centro-Oeste;2025-02-14;52948.68654167
N;Norte;2025-02-15;7327.09154167
NE;Nordeste;2025-02-15;13573.73404167
S;Sul;2025-02-15;15211.36283333
SE;Sudeste/Centro-Oeste;2025-02-15;49010.93066667
N;Norte;2025-02-16;6962.76741667
NE;Nordeste;2025-02-16;12769.26320833
S;Sul;2025-02-16;13869.35229167
SE;Sudeste/Centro-Oeste;2025-02-16;46333.60891667
N;Norte;2025-02-17;7524.995
NE;Nordeste;2025-02-17;14107.02820833
S;Sul;2025-02-17;17000.81254167
SE;Sudeste/Centro-Oeste;2025-02-17;54542.45666667
N;Norte;2025-02-18;7800.48370833
NE;Nordeste;2025-02-18;14166.531125
S;Sul;2025-02-18;15565.3815
SE;Sudeste/Centro-Oeste;2025-02-18;55552.92191667
N;Norte;2025-02-19;7871.27925
NE;Nordeste;2025-02-19;14493.52229167
S;Sul;2025-02-19;15210.12229167
SE;Sudeste/Centro-Oeste;2025-02-19;54683.399625
N;Norte;2025-02-20;7873.97533333
NE;Nordeste;2025-02-20;14355.59491667
S;Sul;2025-02-20;16356.35583333
SE;Sudeste/Centro-Oeste;2025-02-20;55180.35825
N;Norte;2025-02-21;7892.43195833
NE;Nordeste;2025-02-21;14418.26683333
S;Sul;2025-02-21;17147.543
SE;Sudeste/Centro-Oeste;2025-02-21;54688.273
N;Norte;2025-02-22;7622.221875
NE;Nordeste;2025-02-22;13645.283875
S;Sul;2025-02-22;14987.45625
SE;Sudeste/Centro-Oeste;2025-02-22;49894.80558333
N;Norte;2025-02-23;7484.735
NE;Nordeste;2025-02-23;13440.84166667
S;Sul;2025-02-23;13763.521125
SE;Sudeste/Centro-Oeste;2025-02-23;46206.26725
N;Norte;2025-02-24;8049.42354167
NE;Nordeste;2025-02-24;14550.43945833
S;Sul;2025-02-24;17906.08475
SE;Sudeste/Centro-Oeste;2025-02-24;53444.69504167
N;Norte;2025-02-25;8009.48045833
NE;Nordeste;2025-02-25;14671.00354167
S;Sul;2025-02-25;19040.22283333
SE;Sudeste/Centro-Oeste;2025-02-25;54096.76320833
N;Norte;2025-02-26;8054.28183333
NE;Nordeste;2025-02-26;14770.66520833
S;Sul;2025-02-26;18947.040625
SE;Sudeste/Centro-Oeste;2025-02-26;54108.77679167
N;Norte;2025-02-27;8058.36766667
NE;Nordeste;2025-02-27;14651.26616667
S;Sul;2025-02-27;18192.30966667
SE;Sudeste/Centro-Oeste;2025-02-27;54213.71258333
N;Norte;2025-02-28;8170.38929167
NE;Nordeste;2025-02-28;14138.75183333
S;Sul;2025-02-28;18673.509875
SE;Sudeste/Centro-Oeste;2025-02-28;53643.41016667
N;Norte;2025-03-01;7930.64029167
NE;Nordeste;2025-03-01;13067.291875
S;Sul;2025-03-01;15901.348625
SE;Sudeste/Centro-Oeste;2025-03-01;48349.55270833
N;Norte;2025-03-02;7589.58033333
NE;Nordeste;2025-03-02;12436.00320833
S;Sul;2025-03-02;14645.464875
SE;Sudeste/Centro-Oeste;2025-03-02;45119.76233333
N;Norte;2025-03-03;7781.50866667
NE;Nordeste;2025-03-03;12763.18054167
S;Sul;2025-03-03;17501.42779167
SE;Sudeste/Centro-Oeste;2025-03-03;47852.507625
N;Norte;2025-03-04;7600.18720833
NE;Nordeste;2025-03-04;12535.18775
S;Sul;2025-03-04;17597.56391667
SE;Sudeste/Centro-Oeste;2025-03-04;47359.16020833
N;Norte;2025-03-05;7809.69066667
NE;Nordeste;2025-03-05;13471.86741667
S;Sul;2025-03-05;18809.03570833
SE;Sudeste/Centro-Oeste;2025-03-05;50724.32891667
N;Norte;2025-03-06;8063.00929167
NE;Nordeste;2025-03-06;14247.06004167
S;Sul;2025-03-06;18958.11358333
SE;Sudeste/Centro-Oeste;2025-03-06;52016.04383333
N;Norte;2025-03-07;7925.74504167
NE;Nordeste;2025-03-07;14326.12083333
S;Sul;2025-03-07;18686.32470833
SE;Sudeste/Centro-Oeste;2025-03-07;52143.11441667
N;Norte;2025-03-08;7627.42875
NE;Nordeste;2025-03-08;13624.05270833
S;Sul;2025-03-08;16622.582125
SE;Sudeste/Centro-Oeste;2025-03-08;48447.55066667
N;Norte;2025-03-09;7523.78766667
NE;Nordeste;2025-03-09;12597.55591667
S;Sul;2025-03-09;13880.76479167
SE;Sudeste/Centro-Oeste;2025-03-09;45560.16941667
N;Norte;2025-03-10;8003.20895833
NE;Nordeste;2025-03-10;13791.85725
S;Sul;2025-03-10;15693.13141667
SE;Sudeste/Centro-Oeste;2025-03-10;52561.81475
N;Norte;2025-03-11;8071.790625
NE;Nordeste;2025-03-11;14502.49404167
S;Sul;2025-03-11;16150.59083333
SE;Sudeste/Centro-Oeste;2025-03-11;53024.09733333
N;Norte;2025-03-12;8029.66654167
NE;Nordeste;2025-03-12;14852.41745833
S;Sul;2025-03-12;15912.18725
SE;Sudeste/Centro-Oeste;2025-03-12;52165.663625
N;Norte;2025-03-13;8197.1835
NE;Nordeste;2025-03-13;14773.16933333
S;Sul;2025-03-13;16046.065
SE;Sudeste/Centro-Oeste;2025-03-13;52562.118
N;Norte;2025-03-14;8152.64116667
NE;Nordeste;2025-03-14;14591.96741667
S;Sul;2025-03-14;15209.01283333
SE;Sudeste/Centro-Oeste;2025-03-14;51972.0925
N;Norte;2025-03-15;7931.41754167
NE;Nordeste;2025-03-15;13629.064
S;Sul;2025-03-15;13370.36991667
SE;Sudeste/Centro-Oeste;2025-03-15;48408.509
N;Norte;2025-03-16;7579.664625
NE;Nordeste;2025-03-16;12887.61570833
S;Sul;2025-03-16;11727.03445833
SE;Sudeste/Centro-Oeste;2025-03-16;44196.56675
N;Norte;2025-03-17;7974.42575
NE;Nordeste;2025-03-17;14190.8665
S;Sul;2025-03-17;15729.92791667
SE;Sudeste/Centro-Oeste;2025-03-17;49699.28566667
N;Norte;2025-03-18;8033.25495833
NE;Nordeste;2025-03-18;14214.4635
S;Sul;2025-03-18;16150.670375
SE;Sudeste/Centro-Oeste;2025-03-18;50138.68054167
N;Norte;2025-03-19;8069.23291667
NE;Nordeste;2025-03-19;14404.94225
S;Sul;2025-03-19;15586.58408333
SE;Sudeste/Centro-Oeste;2025-03-19;48610.76358333
N;Norte;2025-03-20;8052.1825
NE;Nordeste;2025-03-20;14724.91995833
S;Sul;2025-03-20;15668.21708333
SE;Sudeste/Centro-Oeste;2025-03-20;47053.25245833
N;Norte;2025-03-21;8192.76866667
NE;Nordeste;2025-03-21;14446.65416667
S;Sul;2025-03-21;15539.7825
SE;Sudeste/Centro-Oeste;2025-03-21;47216.28066667
N;Norte;2025-03-22;7754.818875
NE;Nordeste;2025-03-22;13655.82220833
S;Sul;2025-03-22;13829.789
SE;Sudeste/Centro-Oeste;2025-03-22;44323.49020833
N;Norte;2025-03-23;7600.85958333
NE;Nordeste;2025-03-23;12698.10933333
S;Sul;2025-03-23;12777.76383333
SE;Sudeste/Centro-Oeste;2025-03-23;42127.936125
N;Norte;2025-03-24;8273.21904167
NE;Nordeste;2025-03-24;14094.760625
S;Sul;2025-03-24;16469.62658333
SE;Sudeste/Centro-Oeste;2025-03-24;48069.36970833
N;Norte;2025-03-25;8385.097875
NE;Nordeste;2025-03-25;14180.32154167
S;Sul;2025-03-25;16568.3235
SE;Sudeste/Centro-Oeste;2025-03-25;49053.48133333
N;Norte;2025-03-26;8271.78758333
NE;Nordeste;2025-03-26;14470.107125
S;Sul;2025-03-26;15960.01775
SE;Sudeste/Centro-Oeste;2025-03-26;49424.67875
N;Norte;2025-03-27;8240.90295833
NE;Nordeste;2025-03-27;14358.58558333
S;Sul;2025-03-27;16082.30654167
SE;Sudeste/Centro-Oeste;2025-03-27;48560.15129167
N;Norte;2025-03-28;8172.68420833
NE;Nordeste;2025-03-28;14035.14170833
S;Sul;2025-03-28;15987.204625
SE;Sudeste/Centro-Oeste;2025-03-28;49316.727125
N;Norte;2025-03-29;7865.67179167
NE;Nordeste;2025-03-29;13312.7015
S;Sul;2025-03-29;14060.7875
SE;Sudeste/Centro-Oeste;2025-03-29;46280.26066667
N;Norte;2025-03-30;7544.95658333
NE;Nordeste;2025-03-30;12508.44725
S;Sul;2025-03-30;12331.193375
SE;Sudeste/Centro-Oeste;2025-03-30;43114.75875
N;Norte;2025-03-31;8061.73475
NE;Nordeste;2025-03-31;14165.12154167
S;Sul;2025-03-31;16012.86908333
SE;Sudeste/Centro-Oeste;2025-03-31;49676.79708333
N;Norte;2025-04-01;8118.594875
NE;Nordeste;2025-04-01;14310.61104167
S;Sul;2025-04-01;15630.17933333
SE;Sudeste/Centro-Oeste;2025-04-01;49954.13708333
N;Norte;2025-04-02;8079.168875
NE;Nordeste;2025-04-02;14230.03733333
S;Sul;2025-04-02;15896.805625
SE;Sudeste/Centro-Oeste;2025-04-02;50427.040625
N;Norte;2025-04-03;8123.72108333
NE;Nordeste;2025-04-03;14097.476375
S;Sul;2025-04-03;15563.01291667
SE;Sudeste/Centro-Oeste;2025-04-03;51336.05333333
N;Norte;2025-04-04;8185.91220833
NE;Nordeste;2025-04-04;14102.99495833
S;Sul;2025-04-04;14275.12454167
SE;Sudeste/Centro-Oeste;2025-04-04;50209.00404167
N;Norte;2025-04-05;7898.33008333
NE;Nordeste;2025-04-05;13441.59891667
S;Sul;2025-04-05;11686.36233333
SE;Sudeste/Centro-Oeste;2025-04-05;42616.46891667
N;Norte;2025-04-06;7546.6585
NE;Nordeste;2025-04-06;12474.9985
S;Sul;2025-04-06;10424.35079167
SE;Sudeste/Centro-Oeste;2025-04-06;37716.02883333
N;Norte;2025-04-07;8000.27091667
NE;Nordeste;2025-04-07;13773.887125
S;Sul;2025-04-07;13648.40104167
SE;Sudeste/Centro-Oeste;2025-04-07;43571.16954167
N;Norte;2025-04-08;8088.84591667
NE;Nordeste;2025-04-08;14152.44941667
S;Sul;2025-04-08;14332.99166667
SE;Sudeste/Centro-Oeste;2025-04-08;45035.52366667
N;Norte;2025-04-09;8263.37454167
NE;Nordeste;2025-04-09;14377.69633333
S;Sul;2025-04-09;13795.14133333
SE;Sudeste/Centro-Oeste;2025-04-09;46910.117125
N;Norte;2025-04-10;8483.53945833
NE;Nordeste;2025-04-10;14506.791875
S;Sul;2025-04-10;13847.61716667
SE;Sudeste/Centro-Oeste;2025-04-10;46558.41133333
N;Norte;2025-04-11;8266.719125
NE;Nordeste;2025-04-11;14595.73379167
S;Sul;2025-04-11;13945.33608333
SE;Sudeste/Centro-Oeste;2025-04-11;44988.4625
N;Norte;2025-04-12;7802.7725
NE;Nordeste;2025-04-12;13669.11295833
S;Sul;2025-04-12;12570.007625
SE;Sudeste/Centro-Oeste;2025-04-12;42807.14579167
N;Norte;2025-04-13;7575.25066667
NE;Nordeste;2025-04-13;12624.30016667
S;Sul;2025-04-13;10834.809875
SE;Sudeste/Centro-Oeste;2025-04-13;40375.76020833
N;Norte;2025-04-14;8289.34791667
NE;Nordeste;2025-04-14;14231.47654167
S;Sul;2025-04-14;12933.51
SE;Sudeste/Centro-Oeste;2025-04-14;46162.46279167
N;Norte;2025-04-15;8398.32570833
NE;Nordeste;2025-04-15;14706.04529167
S;Sul;2025-04-15;13646.552125
SE;Sudeste/Centro-Oeste;2025-04-15;46070.80325
N;Norte;2025-04-16;8667.42504167
NE;Nordeste;2025-04-16;14508.55008333
S;Sul;2025-04-16;14099.86129167
